date,unemployment benefits,severance,linkedin,jobs near me,indeed
2025-04-06,4.918367346938776,14.509803921568626,67.14255677039529,30.55936856554564,48.87900920927279
2025-04-13,3.6887755102040822,12.091503267973856,62.25946173254836,33.004118050789295,48.87900920927279
2025-04-20,3.6887755102040822,9.673202614379084,67.14255677039529,29.336993822923816,50.10098443950461
2025-04-27,3.6887755102040822,8.4640522875817,62.25946173254836,35.44886753603294,48.87900920927279
2025-05-04,3.6887755102040822,6.045751633986928,59.817914213624896,35.44886753603294,47.65703397904097
2025-05-11,3.6887755102040822,6.045751633986928,59.817914213624896,30.55936856554564,52.54493489996825
2025-05-18,4.918367346938776,6.045751633986928,63.48023549201009,33.004118050789295,56.21086059066371
2025-05-25,4.918367346938776,6.045751633986928,64.70100925147182,37.8936170212766,51.32295966973643
2025-06-01,4.918367346938776,6.045751633986928,106.20731707317073,34.22649279341112,53.76691013020007
2025-06-08,4.918367346938776,4.836601307189542,122.07737594617325,33.004118050789295,52.54493489996825
2025-06-15,4.918367346938776,6.045751633986928,98.88267451640033,31.781743308167467,51.32295966973643
2025-06-22,4.918367346938776,4.836601307189542,108.6488645920942,31.781743308167467,51.32295966973643
2025-06-29,4.918367346938776,4.836601307189542,61.038687973086624,30.55936856554564,40.32518259765005
2025-07-06,4.918367346938776,4.836601307189542,118.41505466778806,34.22649279341112,53.76691013020007
2025-07-13,4.918367346938776,6.045751633986928,111.09041211101766,36.67124227865477,50.10098443950461
2025-07-20,6.14795918367347,4.836601307189542,93.9995794785534,35.44886753603294,50.10098443950461
2025-07-27,6.14795918367347,4.836601307189542,89.11648444070647,34.22649279341112,51.32295966973643
2025-08-03,6.14795918367347,4.836601307189542,70.80487804878048,36.67124227865477,48.87900920927279
2025-08-10,4.918367346938776,4.836601307189542,69.58410428931876,36.67124227865477,48.87900920927279
2025-08-17,4.918367346938776,4.836601307189542,67.14255677039529,36.67124227865477,50.10098443950461
2025-08-24,4.918367346938776,4.836601307189542,65.92178301093355,33.004118050789295,46.43505874880915
2025-08-31,4.918367346938776,4.836601307189542,64.70100925147182,31.781743308167467,42.76913305811369
2025-09-07,4.918367346938776,3.6274509803921564,64.70100925147182,29.336993822923816,43.99110828834551
2025-09-14,4.918367346938776,7.254901960784313,68.36333052985702,28.114619080301992,45.21308351857733
